Set,Read,Max_Expected_Error,Actual_Error,Beyond_Limit,Vdd
0,0.000412,0.015,0.001317,no,3.325572
0.05,0.052309,0.01575,0.000417,no,3.325339
0.1,0.100038,0.0165,0.002022,no,3.326041
0.15,0.150107,0.01725,0.001413,no,3.325339
0.2,0.201271,0.018,0.000336,no,3.326041
0.25,0.250022,0.01875,0.000091,no,3.325339
0.3,0.301009,0.0195,0.001913,no,3.325572
0.35,0.348186,0.02025,0.00156,no,3.326042
0.4,0.399822,0.021,0.0002,no,3.325806
0.45,0.447835,0.02175,0.000984,no,3.325806
0.5,0.500124,0.0225,0.000654,no,3.325806
0.55,0.55046,0.02325,0.001431,no,3.325572
0.6,0.597079,0.024,0.003136,no,3.325806
0.65,0.647696,0.02475,0.001869,no,3.325572
0.7,0.698035,0.0255,0.032172,no,3.325572
0.75,0.747342,0.02625,0.000412,no,3.325806
0.8,0.797491,0.027,0.002309,no,3.325806
0.85,0.848108,0.02775,0.000038,no,3.326041
0.9,0.899092,0.0285,0.000107,no,3.325572
0.95,0.948865,0.02925,0.001271,no,3.325572
1,0.999668,0.03,0.000022,no,3.325806
1.05,1.04916,0.03075,0.001009,no,3.325339
1.1,1.099231,0.0315,0.001814,no,3.325806
1.15,1.14993,0.03225,0.000178,no,3.325806
1.2,1.198683,0.033,0.002165,no,3.326041
1.25,1.249583,0.03375,0.000124,no,3.325806
1.3,1.297978,0.0345,0.00046,no,3.325806
1.35,1.348587,0.03525,0.002921,no,3.325806
1.4,1.399664,0.036,0.002921,no,3.325806
1.45,1.449909,0.03675,0.002304,no,3.325806
1.5,1.501913,0.0375,0.001965,no,3.325806
1.55,1.54844,0.03825,0.002658,no,3.326511
1.6,1.5998,0.039,0.002509,no,3.326041
1.65,1.649016,0.03975,0.001892,no,3.325806
1.7,1.699346,0.0405,0.000908,no,3.326041
1.75,1.748569,0.04125,0.001135,no,3.325806
1.8,1.796864,0.042,0.000332,no,3.325572
1.85,1.848131,0.092,0.00084,no,3.326041
1.9,1.867828,0.142,0.000769,no,3.326746
